Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.0,V201155,15
proxy_0.95,0.0,pff_jb,33
proxy_0.95,0.0,immigrant_citizenship,2
proxy_0.95,0.55,pff_jb,25
proxy_0.95,0.55,V201155,23
proxy_0.95,0.55,immigrant_citizenship,1
proxy_0.95,0.55,abortion,1
proxy_0.95,0.56,pff_jb,25
proxy_0.95,0.56,V201155,22
proxy_0.95,0.56,abortion,1
proxy_0.95,0.56,immigrant_citizenship,1
proxy_0.95,0.56,pff_dt,1
proxy_0.95,0.57,pff_jb,24
proxy_0.95,0.57,V201155,26
proxy_0.95,0.58,pff_jb,21
proxy_0.95,0.58,V201155,23
proxy_0.95,0.58,abortion,3
proxy_0.95,0.58,immigrant_citizenship,3
proxy_0.95,0.59,V201155,27
proxy_0.95,0.59,pff_jb,20
proxy_0.95,0.59,abortion,2
proxy_0.95,0.59,immigrant_citizenship,1
proxy_0.95,0.6,V201155,28
proxy_0.95,0.6,pff_jb,19
proxy_0.95,0.6,abortion,1
proxy_0.95,0.6,immigrant_citizenship,1
proxy_0.95,0.6,V201213,1
proxy_0.95,0.61,pff_jb,26
proxy_0.95,0.61,V201155,21
proxy_0.95,0.61,immigrant_citizenship,1
proxy_0.95,0.61,V201215,1
proxy_0.95,0.61,abortion,1
proxy_0.95,0.62,pff_jb,19
proxy_0.95,0.62,V201155,26
proxy_0.95,0.62,immigrant_citizenship,2
proxy_0.95,0.62,abortion,1
proxy_0.95,0.62,V201215,1
proxy_0.95,0.62,V201213,1
proxy_0.95,0.63,V201155,26
proxy_0.95,0.63,pff_jb,21
proxy_0.95,0.63,immigrant_citizenship,3
proxy_0.95,0.64,pff_jb,24
proxy_0.95,0.64,V201155,23
proxy_0.95,0.64,abortion,1
proxy_0.95,0.64,immigrant_citizenship,1
proxy_0.95,0.64,V201213,1
proxy_0.95,0.65,V201155,22
proxy_0.95,0.65,pff_jb,26
proxy_0.95,0.65,abortion,2
proxy_0.95,0.66,pff_jb,17
proxy_0.95,0.66,V201155,28
proxy_0.95,0.66,immigrant_citizenship,2
proxy_0.95,0.66,V201213,1
proxy_0.95,0.66,abortion,1
proxy_0.95,0.66,V201215,1
proxy_0.95,0.67,pff_jb,22
proxy_0.95,0.67,V201155,24
proxy_0.95,0.67,immigrant_citizenship,1
proxy_0.95,0.67,abortion,3
proxy_0.95,0.68,V201155,35
proxy_0.95,0.68,pff_jb,11
proxy_0.95,0.68,V201215,1
proxy_0.95,0.68,V201213,1
proxy_0.95,0.68,immigrant_citizenship,2
proxy_0.95,0.69,V201155,33
proxy_0.95,0.69,pff_jb,13
proxy_0.95,0.69,V201215,2
proxy_0.95,0.69,abortion,1
proxy_0.95,0.69,immigrant_citizenship,1
proxy_0.95,0.7,V201155,30
proxy_0.95,0.7,abortion,1
proxy_0.95,0.7,pff_jb,10
proxy_0.95,0.7,V201307,1
proxy_0.95,0.7,immigrant_citizenship,6
proxy_0.95,0.7,V201215,2
proxy_0.95,0.71,pff_jb,11
proxy_0.95,0.71,V201155,35
proxy_0.95,0.71,V201355,1
proxy_0.95,0.71,abortion,1
proxy_0.95,0.71,immigrant_citizenship,1
proxy_0.95,0.71,V201215,1
proxy_0.95,0.72,V201155,31
proxy_0.95,0.72,V201215,7
proxy_0.95,0.72,immigrant_citizenship,3
proxy_0.95,0.72,abortion,1
proxy_0.95,0.72,pff_jb,8
proxy_0.95,0.73,V201155,18
proxy_0.95,0.73,immigrant_citizenship,3
proxy_0.95,0.73,V201250,2
proxy_0.95,0.73,pff_jb,14
proxy_0.95,0.73,abortion,2
proxy_0.95,0.73,V201421,5
proxy_0.95,0.73,V201215,5
proxy_0.95,0.73,V201340,1
proxy_0.95,0.74,V201155,20
proxy_0.95,0.74,pff_jb,12
proxy_0.95,0.74,V201424,3
proxy_0.95,0.74,V201215,4
proxy_0.95,0.74,immigrant_citizenship,3
proxy_0.95,0.74,V201340,3
proxy_0.95,0.74,V201430,1
proxy_0.95,0.74,V201421,2
proxy_0.95,0.74,V201387,1
proxy_0.95,0.74,V201410,1
proxy_0.95,0.75,pff_jb,6
proxy_0.95,0.75,V201155,17
proxy_0.95,0.75,V201250,3
proxy_0.95,0.75,V201215,5
proxy_0.95,0.75,V201421,5
proxy_0.95,0.75,immigrant_citizenship,3
proxy_0.95,0.75,V201340,5
proxy_0.95,0.75,abortion,2
proxy_0.95,0.75,V201387,3
proxy_0.95,0.75,V201410,1
