Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.90,0.0,presvote20post,48
proxy_0.90,0.0,pff_dt,2
proxy_0.90,0.55,immigrant_citizenship,1
proxy_0.90,0.55,proxy_0.90,21
proxy_0.90,0.55,immigrant_deport,19
proxy_0.90,0.55,pff_dt,9
proxy_0.90,0.56,proxy_0.90,31
proxy_0.90,0.56,pff_dt,6
proxy_0.90,0.56,immigrant_deport,10
proxy_0.90,0.56,immigrant_citizenship,2
proxy_0.90,0.56,auth_grid_1,1
proxy_0.90,0.57,proxy_0.90,33
proxy_0.90,0.57,immigrant_deport,9
proxy_0.90,0.57,immigrant_citizenship,4
proxy_0.90,0.57,pff_dt,2
proxy_0.90,0.57,auth_grid_3,1
proxy_0.90,0.57,auth_grid_1,1
proxy_0.90,0.58,proxy_0.90,33
proxy_0.90,0.58,immigrant_deport,14
proxy_0.90,0.58,auth_grid_1,2
proxy_0.90,0.58,pff_dt,1
proxy_0.90,0.59,immigrant_deport,10
proxy_0.90,0.59,proxy_0.90,30
proxy_0.90,0.59,auth_grid_3,3
proxy_0.90,0.59,auth_grid_1,2
proxy_0.90,0.59,immigrant_citizenship,4
proxy_0.90,0.59,pff_dt,1
proxy_0.90,0.6,proxy_0.90,34
proxy_0.90,0.6,immigrant_citizenship,2
proxy_0.90,0.6,auth_grid_3,2
proxy_0.90,0.6,pff_dt,2
proxy_0.90,0.6,auth_grid_1,1
proxy_0.90,0.6,immigrant_deport,9
proxy_0.90,0.61,proxy_0.90,35
proxy_0.90,0.61,immigrant_deport,9
proxy_0.90,0.61,auth_grid_1,2
proxy_0.90,0.61,immigrant_citizenship,3
proxy_0.90,0.61,auth_grid_3,1
proxy_0.90,0.62,immigrant_deport,5
proxy_0.90,0.62,proxy_0.90,38
proxy_0.90,0.62,auth_grid_1,4
proxy_0.90,0.62,auth_grid_3,2
proxy_0.90,0.62,immigrant_citizenship,1
proxy_0.90,0.63,proxy_0.90,39
proxy_0.90,0.63,immigrant_deport,5
proxy_0.90,0.63,auth_grid_1,4
proxy_0.90,0.63,auth_grid_3,2
proxy_0.90,0.64,auth_grid_1,3
proxy_0.90,0.64,proxy_0.90,37
proxy_0.90,0.64,immigrant_deport,6
proxy_0.90,0.64,auth_grid_3,2
proxy_0.90,0.64,immigrant_citizenship,2
proxy_0.90,0.65,auth_grid_1,6
proxy_0.90,0.65,proxy_0.90,33
proxy_0.90,0.65,immigrant_deport,4
proxy_0.90,0.65,educ,1
proxy_0.90,0.65,immigrant_citizenship,2
proxy_0.90,0.65,auth_grid_3,4
proxy_0.90,0.66,auth_grid_1,10
proxy_0.90,0.66,proxy_0.90,29
proxy_0.90,0.66,immigrant_citizenship,2
proxy_0.90,0.66,auth_grid_3,9
proxy_0.90,0.67,proxy_0.90,21
proxy_0.90,0.67,auth_grid_3,11
proxy_0.90,0.67,immigrant_deport,4
proxy_0.90,0.67,auth_grid_1,14
proxy_0.90,0.68,proxy_0.90,17
proxy_0.90,0.68,auth_grid_3,18
proxy_0.90,0.68,auth_grid_1,14
proxy_0.90,0.68,educ,1
proxy_0.90,0.69,auth_grid_3,18
proxy_0.90,0.69,proxy_0.90,13
proxy_0.90,0.69,auth_grid_1,15
proxy_0.90,0.69,immigrant_deport,2
proxy_0.90,0.69,immigrant_citizenship,1
proxy_0.90,0.69,auth_grid_2,1
proxy_0.90,0.7,auth_grid_3,23
proxy_0.90,0.7,educ,1
proxy_0.90,0.7,auth_grid_1,16
proxy_0.90,0.7,proxy_0.90,8
proxy_0.90,0.7,auth_grid_2,2
proxy_0.90,0.71,auth_grid_3,19
proxy_0.90,0.71,auth_grid_1,19
proxy_0.90,0.71,proxy_0.90,8
proxy_0.90,0.71,index,1
proxy_0.90,0.71,immigrant_citizenship,1
proxy_0.90,0.71,auth_grid_2,1
proxy_0.90,0.71,immigrant_deport,1
proxy_0.90,0.72,auth_grid_3,22
proxy_0.90,0.72,educ,1
proxy_0.90,0.72,auth_grid_1,17
proxy_0.90,0.72,turnout20post,5
proxy_0.90,0.72,auth_grid_2,4
proxy_0.90,0.72,index,1
proxy_0.90,0.73,auth_grid_1,16
proxy_0.90,0.73,auth_grid_3,12
proxy_0.90,0.73,index,13
proxy_0.90,0.73,turnout20post,7
proxy_0.90,0.73,auth_grid_2,2
proxy_0.90,0.74,index,25
proxy_0.90,0.74,auth_grid_1,2
proxy_0.90,0.74,auth_grid_3,10
proxy_0.90,0.74,turnout20post,11
proxy_0.90,0.74,auth_grid_2,2
proxy_0.90,0.75,index,27
proxy_0.90,0.75,auth_grid_1,3
proxy_0.90,0.75,turnout20post,16
proxy_0.90,0.75,auth_grid_3,3
proxy_0.90,0.75,auth_grid_2,1
